frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,neutral
frame_4.png,neutral
frame_5.png,neutral
frame_6.png,neutral
frame_7.png,neutral
frame_8.png,neutral
frame_9.png,neutral
frame_10.png,neutral
frame_11.png,neutral
frame_12.png,neutral
frame_13.png,neutral
frame_14.png,neutral
frame_15.png,neutral
frame_16.png,neutral
frame_17.png,neutral
frame_18.png,neutral
frame_19.png,neutral
frame_20.png,neutral
frame_21.png,fear
frame_22.png,fear
frame_23.png,fear
frame_24.png,fear
frame_25.png,fear
frame_26.png,fear
frame_27.png,fear
frame_28.png,fear
frame_29.png,fear
frame_30.png,fear
frame_31.png,fear
frame_32.png,fear
frame_33.png,fear
frame_34.png,fear
frame_35.png,fear
frame_36.png,fear
frame_37.png,fear
frame_38.png,fear
frame_39.png,fear
frame_40.png,fear
