frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,neutral
frame_4.png,neutral
frame_5.png,neutral
frame_6.png,neutral
frame_7.png,neutral
frame_8.png,neutral
frame_9.png,neutral
frame_10.png,neutral
frame_11.png,neutral
frame_12.png,neutral
frame_13.png,neutral
frame_14.png,neutral
frame_15.png,neutral
frame_16.png,neutral
frame_17.png,neutral
frame_18.png,sad
frame_19.png,sad
frame_20.png,sad
frame_21.png,sad
frame_22.png,sad
frame_23.png,sad
frame_24.png,sad
frame_25.png,sad
frame_26.png,sad
frame_27.png,sad
frame_28.png,sad
frame_29.png,sad
frame_30.png,sad
frame_31.png,sad
frame_32.png,sad
frame_33.png,sad
frame_34.png,sad
frame_35.png,sad
frame_36.png,sad
frame_37.png,sad
frame_38.png,sad
frame_39.png,sad
frame_40.png,sad
frame_41.png,sad
frame_42.png,sad
frame_43.png,sad
frame_44.png,sad
frame_45.png,sad
frame_46.png,sad
frame_47.png,sad
frame_48.png,sad
frame_49.png,sad
frame_50.png,sad
frame_51.png,sad
frame_52.png,sad
frame_53.png,sad
frame_54.png,sad
frame_55.png,sad
