frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,neutral
frame_4.png,neutral
frame_5.png,neutral
frame_6.png,neutral
frame_7.png,neutral
frame_8.png,neutral
frame_9.png,neutral
frame_10.png,neutral
frame_11.png,neutral
frame_12.png,angry
frame_13.png,angry
frame_14.png,angry
frame_15.png,angry
frame_16.png,angry
frame_17.png,happy
frame_18.png,happy
frame_19.png,happy
frame_20.png,happy
frame_21.png,happy
frame_22.png,happy
frame_23.png,happy
frame_24.png,happy
frame_25.png,happy
frame_26.png,happy
