frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,neutral
frame_4.png,neutral
frame_5.png,neutral
frame_6.png,neutral
frame_7.png,neutral
frame_8.png,neutral
frame_9.png,neutral
frame_10.png,happy
frame_11.png,happy
frame_12.png,happy
frame_13.png,happy
frame_14.png,happy
frame_15.png,happy
frame_16.png,happy
frame_17.png,happy
frame_18.png,happy
frame_19.png,happy
frame_20.png,happy
frame_21.png,happy
frame_22.png,happy
frame_23.png,happy
frame_24.png,happy
frame_25.png,happy
frame_26.png,happy
frame_27.png,happy
frame_28.png,happy
frame_29.png,happy
frame_30.png,happy
frame_31.png,happy
frame_32.png,happy
frame_33.png,happy
frame_34.png,happy
frame_35.png,happy
frame_36.png,happy
frame_37.png,happy
frame_38.png,happy
frame_39.png,happy
frame_40.png,happy
frame_41.png,happy
frame_42.png,happy
frame_43.png,happy
frame_44.png,happy
frame_45.png,happy
frame_46.png,happy
frame_47.png,happy
frame_48.png,happy
frame_49.png,happy
frame_50.png,happy
frame_51.png,happy
frame_52.png,happy
frame_53.png,happy
frame_54.png,happy
frame_55.png,happy
frame_56.png,happy
frame_57.png,happy
frame_58.png,happy
frame_59.png,happy
frame_60.png,happy
frame_61.png,happy
frame_62.png,happy
frame_63.png,happy
frame_64.png,happy
frame_65.png,happy
frame_66.png,happy
frame_67.png,happy
frame_68.png,happy
frame_69.png,happy
frame_70.png,happy
frame_71.png,happy
frame_72.png,happy
