frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,surprise
frame_4.png,surprise
frame_5.png,surprise
frame_6.png,surprise
frame_7.png,surprise
frame_8.png,surprise
frame_9.png,surprise
frame_10.png,surprise
frame_11.png,surprise
frame_12.png,happy
frame_13.png,happy
frame_14.png,happy
frame_15.png,happy
frame_16.png,happy
frame_17.png,happy
frame_18.png,happy
frame_19.png,happy
frame_20.png,happy
frame_21.png,happy
frame_22.png,happy
frame_23.png,happy
frame_24.png,happy
frame_25.png,happy
frame_26.png,happy
frame_27.png,happy
frame_28.png,happy
frame_29.png,happy
frame_30.png,happy
