frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,neutral
frame_4.png,neutral
frame_5.png,neutral
frame_6.png,neutral
frame_7.png,neutral
frame_8.png,neutral
frame_9.png,surprise
frame_10.png,surprise
frame_11.png,surprise
frame_12.png,surprise
frame_13.png,surprise
frame_14.png,surprise
frame_15.png,surprise
frame_16.png,surprise
frame_17.png,surprise
frame_18.png,surprise
frame_19.png,happy
frame_20.png,happy
frame_21.png,happy
frame_22.png,happy
frame_23.png,happy
frame_24.png,happy
frame_25.png,happy
frame_26.png,happy
frame_27.png,happy
frame_28.png,happy
frame_29.png,happy
frame_30.png,happy
frame_31.png,happy
frame_32.png,happy
frame_33.png,happy
