frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,neutral
frame_4.png,neutral
frame_5.png,neutral
frame_6.png,neutral
frame_7.png,disgust
frame_8.png,disgust
frame_9.png,disgust
frame_10.png,disgust
frame_11.png,disgust
frame_12.png,disgust
frame_13.png,disgust
frame_14.png,disgust
frame_15.png,disgust
frame_16.png,disgust
frame_17.png,disgust
frame_18.png,disgust
frame_19.png,disgust
frame_20.png,disgust
frame_21.png,disgust
frame_22.png,disgust
frame_23.png,disgust
frame_24.png,disgust
frame_25.png,disgust
frame_26.png,disgust
frame_27.png,disgust
frame_28.png,disgust
