frame, emotion
frame_0.png,sad
frame_1.png,sad
frame_2.png,sad
frame_3.png,sad
frame_4.png,sad
frame_5.png,sad
frame_6.png,happy
frame_7.png,happy
frame_8.png,happy
frame_9.png,happy
frame_10.png,happy
frame_11.png,happy
frame_12.png,happy
frame_13.png,happy
frame_14.png,happy
frame_15.png,happy
frame_16.png,happy
frame_17.png,happy
frame_18.png,sad
frame_19.png,sad
frame_20.png,sad
frame_21.png,sad
frame_22.png,sad
frame_23.png,sad
frame_24.png,sad
frame_25.png,sad
frame_26.png,sad
frame_27.png,sad
frame_28.png,sad
frame_29.png,sad
frame_30.png,sad
frame_31.png,sad
frame_32.png,sad
frame_33.png,sad
frame_34.png,sad
frame_35.png,sad
