frame, emotion
frame_0.png,neutral
frame_1.png,neutral
frame_2.png,neutral
frame_3.png,neutral
frame_4.png,disgust
frame_5.png,disgust
frame_6.png,disgust
frame_7.png,disgust
frame_8.png,disgust
frame_9.png,disgust
frame_10.png,disgust
frame_11.png,disgust
frame_12.png,disgust
frame_13.png,disgust
frame_14.png,disgust
frame_15.png,disgust
frame_16.png,disgust
frame_17.png,disgust
frame_18.png,disgust
frame_19.png,disgust
frame_20.png,disgust
frame_21.png,disgust
frame_22.png,disgust
frame_23.png,disgust
frame_24.png,disgust
frame_25.png,disgust
frame_26.png,disgust
frame_27.png,disgust
frame_28.png,disgust
frame_29.png,disgust
frame_30.png,disgust
frame_31.png,disgust
frame_32.png,disgust
frame_33.png,disgust
frame_34.png,disgust
frame_35.png,disgust
